"CE ID","Entity Type Code","Entity Name","Address 1","Address 2","City","State","Zip"
"2","FP","TUSCARAWAS COUNTY GENERAL HEALTH","897 EAST IRON AVE",,"DOVER","OH","44622"
"13","FP","LINCOLN COUNTY HEALTH DEPARTMENT","151 SIGMON ROAD",,"LINCOLNTON","NC","28092"
"23","FP","OPTIONS IN REPRODUCTIVE CARE INC","1201 CALEDONIA STREET",,"LA CROSSE","WI","54603"
"39","FP","STONE COUNTY HEALTH DEPARTMENT","1510 CENTRAL AVENUE EAST",,"WIGGINS","MS","39577"
"41","FP","HARLAN COUNTY HEALTH DEPARTMENT - CUMBERLAND CLINIC","1520 EAST MAIN STREET",,"CUMBERLAND","KY","40823"
"44","FP","TRI-CITY HEALTH CENTER","2299 MOWRY AVE #3B",,"FREMONT","CA","94538"
"52","FP","TRICOUNTY HEALTH DEPARTMENT","10190 BANNOCK ST","SUITE 100","NORTHGLENN","CO","80260"
"54","FP","PORTSMOUTH CITY HEALTH DEPT","605 WASHINGTON STREET",,"PORTSMOUTH","OH","45662"
"61","FP","PLANNED PARENTHOOD MINNESOTA, NORTH DAKOTA, SOUTH DAKOTA","15322 GALAXIE AVENUE","SUITE 105","APPLE VALLEY","MN","55124"
"63","FP","PUBLIC HEALTH MANAGEMENT CORPORATION","Centre Square East","1500 Market Street","PHILADELPHIA","PA","19102"
"69","FP","ARIZONA FAMILY HEALTH PARTNERSHIP","3550 N 1ST AVE","SUITE 300","TUCSON","AZ","85719"
"74","FP","SOUTH END COMMUNITY HEALTH CENTER","1601 Washington Street",,"BOSTON","MA","02118"
"95","FP","ADAGIO HEALTH WASHINGTON","90 W CHESTNUT","SUITE 400","WASHINGTON","PA","15301"
"107","FP","JEFFERSON CO HEALTH DEPT","715 SW 4TH ST","SUITE C","MADRAS","OR","97741"
"115","FP","UPPER HUDSON PLANNED PARENTHOOD","855 CENTRAL AVENUE",,"ALBANY","NY","12206"
"118","FP","JACKSON COUNTY HEALTH UNIT","1505 N PECAN",,"NEWPORT","AR","72112"
"119","FP","CLEBURNE COUNTY HEALTH UNIT","2319 HWY 110 W SUITE C",,"HEBER SPRINGS","AR","72543"
"135","FP","BARBOUR COUNTY HEALTH DEPARTMENT","109 Wabash Avenue",,"PHILIPPI","WV","26416"
"138","FP","PONTOTOC COUNTY HEALTH DEPARTMENT","341 RIDGE ROAD",,"PONTOTOC","MS","38863"
"142","FP","RED ROCK FAMILY PLANNING CLINIC","no PO Box allowed",,"LOPEZ","PA","18628"
"148","FP","L.A. COUNTY DEPARTMENT OF HEALTH SERVICES","7515 VAN NUYS BLVD",,"VAN NUYS","CA","91405"
"151","FP","MEM-SHELBY CTY SHELBY CROSSING CLINIC","6170 MACON ROAD",,"MEMPHIS","TN","38134"
"153","FP","NORTHERN GREENBRIER HEALTH CLINIC","8965 Shoestring Trail",,"Williamsburg","WV","24991"
"161","FP","ACADIA PHU","1029 Capitol Avenue",,"CROWLEY","LA","70526"
"201","FP","BEDFORD COUNTY HEALTH DEPARTMENT","140 Dover St.",,"Shelbyville","TN","37160"
"218","FP","ST JOHN PHU","473 CENTRAL AVE",,"RESERVE","LA","70084"
"226","FP","GILMER COUNTY HEALTH DEPARTMENT","809 Medical Drive","Suite 3","GLENVILLE","WV","26351"
"233","FP","NORTHWEST COMMUNITY HEALTH CLINIC - EUREKA","100 DEWEY AVE",,"EUREKA","MT","59917"
"237","FP","PLANNED PARENTHOOD MOHAWK HUDSON","111 EAST CHESTNUT STREET","SUITE 205","ROME","NY","13440"
"243","FP","YAZOO COUNTY HEALTH DEPARTMENT","230 EAST BROADWAY STREET",,"YAZOO CITY","MS","39194"
"245","FP","HILLCREST FAMILY SERVICES","2005 ASBURY ROAD",,"DUBUQUE","IA","52001"
"261","FP","PLANNED PARENTHOOD OF WEST AND NORTHERN MICHIGAN, INC.","425 CHERRY STREET, SE",,"GRAND RAPIDS","MI","49503"
"273","FP","COLUMBIA COUNTY HEALTH DEPARTMENT","217 NORTH EAST FRANKLIN ST",,"LAKE CITY","FL","32055"
"291","FP","ROANOKE COUNTY HEALTH DEPARTMENT","227 S POLLARD ST",,"VINTON","VA","24179"
"293","FP","BROCKTON FAMILY PLANNING","111 TORREY ST",,"BROCKTON","MA","02301"
"296","FP","MONROE HEALTH CENTER","200 HEALTH CENTER DRIVE",,"UNION","WV","24983"
"330","FP","LAFAYETTE COUNTY HEALTH UNIT","1113 CHESTNUT",,"LEWISVILLE","AR","71845"
"337","FP","Finger Lakes Migrant Health Care Project, Inc.","601B Washington Street",,"GENEVA","NY","14456"
"340","FP","CAP BELKNAP MERRIMACK COUNTY","121 BELMONT RD",,"LACONIA","NH","03246"
"343","FP","DALLAS COUNTY HEALTH DEPARTMENT","100 SAM O MOSELEY DR",,"SELMA","AL","36701"
"354","FP","COOS COUNTY FAMILY HEALTH SERVICES INC","133 PLEASANT STREET",,"BERLIN","NH","03570"
"355","FP","PUTNAM COUNTY HEALTH DEPARTMENT","3282 Winfield Road",,"Winfield","WV","25213"
"360","FP","PLANNED PARENTHOOD OF MD","9129 REISTERSTOWN RD","VALLEY VILLAGE CENTER","OWINGS MILLS","MD","21117"
"371","FP","MALHEUR COUNTY HEALTH DEPT","1108 SW 4TH AVE",,"ONTARIO","OR","97914"
"373","FP","SEVIER COUNTY HEALTH DEPARTMENT","719 Middle Creek Road",,"Sevierville","TN","37862"
"379","FP","COLUMBIA MONTOUR FAMILY HEALTH INC","2201 5TH ST HOLLOW RD",,"BLOOMSBURG","PA","17815"
